Date,USD,EUR,JPY,GBP,CAD,CHF,INR,CNY,TRY,SAR,IDR,AED,THB,VND,EGP,KRW,RUB,ZAR,AUD
29/12/1978,-0.99439,-1.11574,-0.0,-0.97032,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
01/01/1979,-0.99439,-1.11574,-0.0,-0.97032,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
02/01/1979,-0.99281,-1.11526,-0.87702,-0.96823,-1.04895,-1.26193,-0.86533,-0.0,-0.0,-1.03602,-0.83479,-0.98441,-1.09288,-0.0,-0.0,-1.0439,-0.0,-0.7844,-1.14497
03/01/1979,-1.00907,-1.1231,-0.86604,-0.97741,-1.04778,-1.24584,-0.86509,-0.0,-0.0,-1.03403,-0.83471,-0.98203,-1.09151,-0.0,-0.0,-1.04301,-0.0,-0.78469,-1.14591
04/01/1979,-0.99995,-1.11645,-0.8669,-0.97032,-1.04828,-1.24457,-0.86486,-0.0,-0.0,-1.03193,-0.83461,-0.97955,-1.0901,-0.0,-0.0,-1.0421,-0.0,-0.78459,-1.14339
05/01/1979,-0.99539,-1.11265,-0.84889,-0.96796,-1.04106,-1.22593,-0.86406,-0.0,-0.0,-1.0251,-0.83431,-0.97139,-1.08541,-0.0,-0.0,-1.03907,-0.0,-0.78418,-1.1382
08/01/1979,-1.00014,-1.1174,-0.85179,-0.97164,-1.03921,-1.22874,-0.86411,-0.0,-0.0,-1.02799,-0.83433,-0.97447,-1.08579,-0.0,-0.0,-1.03932,-0.0,-0.78408,-1.1382
09/01/1979,-0.99836,-1.11526,-0.85954,-0.96954,-1.04458,-1.22823,-0.86458,-0.0,-0.0,-1.03198,-0.83451,-0.97922,-1.08851,-0.0,-0.0,-1.04107,-0.0,-0.78435,-1.14135
10/01/1979,-1.0049,-1.11954,-0.87302,-0.97242,-1.05214,-1.24584,-0.86506,-0.0,-0.0,-1.03602,-0.83469,-0.98403,-1.09132,-0.0,-0.0,-1.04288,-0.0,-0.78471,-1.14639
11/01/1979,-1.0049,-1.11859,-0.865,-0.97164,-1.05097,-1.23308,-0.86478,-0.0,-0.0,-1.03366,-0.83459,-0.98122,-1.08969,-0.0,-0.0,-1.04183,-0.0,-0.78466,-1.14465
12/01/1979,-1.01105,-1.12287,-0.88352,-0.97479,-1.05987,-1.24916,-0.86558,-0.0,-0.0,-1.04049,-0.83489,-0.98938,-1.09439,-0.0,-0.0,-1.04487,-0.0,-0.78531,-1.15095
15/01/1979,-1.01244,-1.12358,-0.88435,-0.97531,-1.06054,-1.24099,-0.8656,-0.0,-0.0,-1.04521,-0.83517,-0.99835,-1.09762,-0.0,-0.0,-1.04493,-0.0,-0.78528,-1.15095
16/01/1979,-1.0049,-1.1193,-0.87581,-0.97164,-1.05365,-1.24125,-0.86524,-0.0,-0.0,-1.04212,-0.83504,-0.99467,-1.0955,-0.0,-0.0,-1.04355,-0.0,-0.78504,-1.14764
17/01/1979,-0.99182,-1.11075,-0.85351,-0.9635,-1.0424,-1.21955,-0.86409,-0.0,-0.0,-1.0325,-0.83461,-0.98327,-1.08887,-0.0,-0.0,-1.03922,-0.0,-0.78423,-1.13946
18/01/1979,-0.98289,-1.10481,-0.84411,-0.95825,-1.03703,-1.21215,-0.8636,-0.0,-0.0,-1.0283,-0.83442,-0.97836,-1.08601,-0.0,-0.0,-1.03734,-0.0,-0.78409,-1.13647
19/01/1979,-0.98527,-1.10624,-0.80272,-0.95878,-1.02006,-1.16875,-0.86162,-0.0,-0.0,-1.0116,-0.83367,-0.95859,-1.07452,-0.0,-0.0,-1.02983,-0.0,-0.78295,-1.12293
22/01/1979,-0.97655,-1.09935,-0.81307,-0.95221,-1.02443,-1.17538,-0.86297,-0.0,-0.0,-1.01212,-0.83375,-0.95897,-1.07557,-0.0,-0.0,-1.03116,-0.0,-0.78332,-1.12592
23/01/1979,-0.98646,-1.10624,-0.82804,-0.95851,-1.03283,-1.19249,-0.86276,-0.0,-0.0,-1.01879,-0.83405,-0.96685,-1.08014,-0.0,-0.0,-1.03415,-0.0,-0.78366,-1.13175
24/01/1979,-0.97437,-1.09768,-0.81337,-0.9509,-1.02342,-1.17717,-0.86199,-0.0,-0.0,-1.01223,-0.83376,-0.95913,-1.07566,-0.0,-0.0,-1.03122,-0.0,-0.78327,-1.12608
25/01/1979,-0.97873,-1.09935,-0.80309,-0.953,-1.02141,-1.16594,-0.8617,-0.0,-0.0,-1.00976,-0.83365,-0.95616,-1.07395,-0.0,-0.0,-1.03011,-0.0,-0.78311,-1.12466
26/01/1979,-0.97556,-1.09792,-0.80485,-0.95116,-1.02225,-1.17258,-0.86191,-0.0,-0.0,-1.01155,-0.83373,-0.95832,-1.0752,-0.0,-0.0,-1.03092,-0.0,-0.78322,-1.12545
29/01/1979,-0.97615,-1.09626,-0.80255,-0.95143,-1.02275,-1.17079,-0.86297,-0.0,-0.0,-1.0127,-0.83378,-0.96021,-1.07704,-0.0,-0.0,-1.03116,-0.0,-0.78336,-1.12545
30/01/1979,-0.97952,-1.09911,-0.80275,-0.95405,-1.02409,-1.1736,-0.8621,-0.0,-0.0,-1.0138,-0.83383,-0.96151,-1.07779,-0.0,-0.0,-1.03165,-0.0,-0.78336,-1.12608
31/01/1979,-0.97913,-1.09745,-0.83742,-0.95274,-1.04324,-1.21164,-0.86413,-0.0,-0.0,-1.03098,-0.8346,-0.98182,-1.08952,-0.0,-0.0,-1.04268,-0.0,-0.78441,-1.1393
01/02/1979,-0.98765,-1.10196,-0.79773,-0.95694,-1.02292,-1.16619,-0.86197,-0.0,-0.0,-1.01265,-0.83378,-0.9601,-1.07698,-0.0,-0.0,-1.03463,-0.0,-0.78346,-1.12576
02/02/1979,-0.98587,-1.10053,-0.81424,-0.95563,-1.02913,-1.17666,-0.86246,-0.0,-0.0,-1.01685,-0.83397,-0.96507,-1.07986,-0.0,-0.0,-1.03647,-0.0,-0.78381,-1.12938
05/02/1979,-0.96049,-1.08438,-0.78571,-0.94014,-1.01183,-1.14883,-0.86084,-0.0,-0.0,-1.00193,-0.83342,-0.95286,-1.07257,-0.0,-0.0,-1.03049,-0.0,-0.78289,-1.11774
06/02/1979,-0.95771,-1.08319,-0.77476,-0.93909,-1.00528,-1.13658,-0.86022,-0.0,-0.0,-0.99652,-0.83318,-0.94654,-1.06892,-0.0,-0.0,-1.02813,-0.0,-0.7824,-1.11286
07/02/1979,-0.94363,-1.0763,-0.76448,-0.93305,-0.99319,-1.12739,-0.85936,-0.0,-0.0,-0.98927,-0.83286,-0.93801,-1.06399,-0.0,-0.0,-1.02494,-0.0,-0.78185,-1.10593
08/02/1979,-0.94581,-1.07677,-0.73556,-0.93305,-0.98244,-1.1062,-0.85811,-0.0,-0.0,-0.97856,-0.83238,-0.92553,-1.05676,-0.0,-0.0,-1.02027,-0.0,-0.7816,-1.09853
09/02/1979,-0.95315,-1.082,-0.77018,-0.93725,-1.00243,-1.14424,-0.86012,-0.0,-0.0,-0.99558,-0.83314,-0.94541,-1.06827,-0.0,-0.0,-1.02771,-0.0,-0.78267,-1.11175
12/02/1979,-0.95811,-1.08509,-0.74494,-0.94093,-0.99134,-1.11948,-0.85898,-0.0,-0.0,-0.98082,-0.83257,-0.92488,-1.05837,-0.0,-0.0,-1.02354,-0.0,-0.782,-1.10341
13/02/1979,-0.96544,-1.0896,-0.76688,-0.94565,-1.0031,-1.1422,-0.86013,-0.0,-0.0,-0.99059,-0.833,-0.93639,-1.06499,-0.0,-0.0,-1.02777,-0.0,-0.78268,-1.11223
14/02/1979,-0.96525,-1.08913,-0.78824,-0.94591,-1.0162,-1.16415,-0.86148,-0.0,-0.0,-1.00225,-0.83351,-0.95006,-1.07286,-0.0,-0.0,-1.03281,-0.0,-0.78342,-1.11931
15/02/1979,-0.95117,-1.07939,-0.75831,-0.93646,-1.00041,-1.13837,-0.85993,-0.0,-0.0,-0.98896,-0.83293,-0.93444,-1.06387,-0.0,-0.0,-1.02706,-0.0,-0.78255,-1.10908
16/02/1979,-0.95255,-1.07986,-0.75424,-0.93725,-0.9989,-1.12841,-0.85972,-0.0,-0.0,-0.98712,-0.83285,-0.93228,-1.06264,-0.0,-0.0,-1.02627,-0.0,-0.78253,-1.10782
19/02/1979,-0.95057,-1.07844,-0.7395,-0.93568,-0.99084,-1.11412,-0.85895,-0.0,-0.0,-0.98124,-0.83257,-0.92596,-1.05537,-0.0,-0.0,-1.02344,-0.0,-0.78209,-1.10262
20/02/1979,-0.95275,-1.07986,-0.74293,-0.93751,-0.99403,-1.12177,-0.85933,-0.0,-0.0,-0.98439,-0.83271,-0.92964,-1.05753,-0.0,-0.0,-1.02481,-0.0,-0.78253,-1.10451
21/02/1979,-0.94522,-1.07416,-0.73347,-0.93305,-0.99168,-1.11514,-0.85916,-0.0,-0.0,-0.98292,-0.83264,-0.92796,-1.05653,-0.0,-0.0,-1.02418,-0.0,-0.7824,-1.10262
22/02/1979,-0.94205,-1.07226,-0.72932,-0.93122,-0.98765,-1.10646,-0.85882,-0.0,-0.0,-0.98003,-0.83251,-0.92451,-1.05454,-0.0,-0.0,-1.02292,-0.0,-0.78221,-1.09979
23/02/1979,-0.94482,-1.07464,-0.73333,-0.93332,-0.98899,-1.11284,-0.85909,-0.0,-0.0,-0.98234,-0.83261,-0.92726,-1.05612,-0.0,-0.0,-1.02392,-0.0,-0.78232,-1.10136
26/02/1979,-0.94958,-1.07868,-0.72962,-0.93804,-0.98849,-1.1159,-0.85928,-0.0,-0.0,-0.98266,-0.83251,-0.9271,-1.05805,-0.0,-0.0,-1.02461,-0.0,-0.78234,-1.10073
27/02/1979,-0.95097,-1.07915,-0.73917,-0.93909,-0.9942,-1.12586,-0.85982,-0.0,-0.0,-0.98733,-0.83272,-0.93266,-1.06125,-0.0,-0.0,-1.02665,-0.0,-0.78249,-1.1042
28/02/1979,-0.94423,-1.07416,-0.73723,-0.93489,-0.99554,-1.12407,-0.85985,-0.0,-0.0,-0.98759,-0.83273,-0.93293,-1.0614,-0.0,-0.0,-1.02413,-0.0,-0.7826,-1.10404
01/03/1979,-0.94918,-1.07725,-0.72508,-0.93804,-0.99521,-1.1136,-0.85954,-0.0,-0.0,-0.98492,-0.83261,-0.9298,-1.05961,-0.0,-0.0,-1.02297,-0.0,-0.7825,-1.10152
02/03/1979,-0.95077,-1.07844,-0.7231,-0.93883,-0.99638,-1.11463,-0.85963,-0.0,-0.0,-0.98565,-0.83265,-0.93066,-1.0601,-0.0,-0.0,-1.02329,-0.0,-0.78253,-1.10136
05/03/1979,-0.9702,-1.09222,-0.74613,-0.95169,-1.00898,-1.13862,-0.86084,-0.0,-0.0,-0.9949,-0.8331,-0.94233,-1.06656,-0.0,-0.0,-1.02787,-0.0,-0.78316,-1.10971
06/03/1979,-0.96703,-1.09008,-0.76156,-0.95011,-1.01502,-1.15573,-0.86161,-0.0,-0.0,-1.00157,-0.83339,-0.95016,-1.0711,-0.0,-0.0,-1.03079,-0.0,-0.7835,-1.11459
07/03/1979,-0.96207,-1.08723,-0.75283,-0.94828,-1.01032,-1.14909,-0.86129,-0.0,-0.0,-0.99878,-0.83327,-0.94692,-1.06922,-0.0,-0.0,-1.02958,-0.0,-0.78325,-1.11144
08/03/1979,-0.96822,-1.09198,-0.76535,-0.95353,-1.01838,-1.16415,-0.86215,-0.0,-0.0,-1.00619,-0.8336,-0.95562,-1.07426,-0.0,-0.0,-1.03282,-0.0,-0.78362,-1.11569
09/03/1979,-0.96465,-1.08889,-0.75497,-0.95064,-1.01469,-1.15445,-0.86169,-0.0,-0.0,-1.00225,-0.83342,-0.95097,-1.07157,-0.0,-0.0,-1.03109,-0.0,-0.78341,-1.11317
12/03/1979,-0.96663,-1.08984,-0.74827,-0.95221,-1.01502,-1.14986,-0.86165,-0.0,-0.0,-0.99878,-0.83324,-0.94482,-1.06842,-0.0,-0.0,-1.03093,-0.0,-0.78338,-1.11207
13/03/1979,-0.96842,-1.09032,-0.74012,-0.95326,-1.02057,-1.15062,-0.86106,-0.0,-0.0,-1.0013,-0.83335,-0.94779,-1.07012,-0.0,-0.0,-1.03202,-0.0,-0.78347,-1.11254
14/03/1979,-0.96762,-1.09032,-0.74617,-0.95221,-1.01973,-1.15164,-0.86089,-0.0,-0.0,-0.99988,-0.83329,-0.94611,-1.06917,-0.0,-0.0,-1.03141,-0.0,-0.78346,-1.11238
15/03/1979,-0.96644,-1.08937,-0.74785,-0.95143,-1.01922,-1.15011,-0.86089,-0.0,-0.0,-0.99988,-0.83329,-0.94611,-1.06915,-0.0,-0.0,-1.0314,-0.0,-0.78349,-1.1127
16/03/1979,-0.9587,-1.08319,-0.74759,-0.94539,-1.02023,-1.15088,-0.86082,-0.0,-0.0,-0.99925,-0.83326,-0.94536,-1.06873,-0.0,-0.0,-1.03113,-0.0,-0.78346,-1.11286
19/03/1979,-0.96207,-1.0858,-0.72977,-0.9467,-1.01385,-1.13096,-0.85972,-0.0,-0.0,-0.99106,-0.833,-0.93752,-1.06364,-0.0,-0.0,-1.02704,-0.0,-0.78298,-1.10687
