,,Date,USD,EUR,JPY,GBP,CAD,CHF,INR,CNY,TRY,SAR,IDR,AED,THB,VND,EGP,KRW,RUB,ZAR,AUD
,,29-12-1978,226.0,137.1,#N/A,110.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,01-01-1979,226.0,137.1,#N/A,110.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,02-01-1979,226.8,137.3,"43,164.9",111.5,263.7,359.6,"1,792.9",#N/A,#N/A,735.6,"1,38,160.5",851.3,"4,454.6",#N/A,#N/A,"1,07,470.0",#N/A,194.6,193.6
,,03-01-1979,218.6,134.0,"43,717.9",108.0,264.4,365.9,"1,802.2",#N/A,#N/A,739.4,"1,38,877.0",855.7,"4,477.7",#N/A,#N/A,"1,08,027.4",#N/A,192.2,193.0
,,04-01-1979,223.2,136.8,"43,674.9",110.7,264.1,366.4,"1,811.7",#N/A,#N/A,743.4,"1,39,616.3",860.3,"4,501.5",#N/A,#N/A,"1,08,602.5",#N/A,193.0,194.6
,,05-01-1979,225.5,138.4,"44,582.5",111.6,268.4,373.7,"1,843.6",#N/A,#N/A,756.4,"1,42,069.1",875.4,"4,580.6",#N/A,#N/A,"1,10,510.4",#N/A,196.4,197.9
,,08-01-1979,223.1,136.4,"44,436.2",110.2,269.5,372.6,"1,841.3",#N/A,#N/A,750.9,"1,41,870.9",869.7,"4,574.2",#N/A,#N/A,"1,10,356.3",#N/A,197.2,197.9
,,09-01-1979,224.0,137.3,"44,045.6",111.0,266.3,372.8,"1,822.5",#N/A,#N/A,743.3,"1,40,446.7",860.9,"4,528.3",#N/A,#N/A,"1,09,248.4",#N/A,195.0,195.9
,,10-01-1979,220.7,135.5,"43,366.4",109.9,261.8,365.9,"1,803.5",#N/A,#N/A,735.6,"1,38,981.0",852.0,"4,481.0",#N/A,#N/A,"1,08,108.3",#N/A,192.0,192.7
,,11-01-1979,220.7,135.9,"43,770.6",110.2,262.5,370.9,"1,814.6",#N/A,#N/A,740.1,"1,39,833.8",857.2,"4,508.5",#N/A,#N/A,"1,08,771.7",#N/A,192.4,193.8
,,12-01-1979,217.6,134.1,"42,837.1",109.0,257.2,364.6,"1,782.6",#N/A,#N/A,727.1,"1,37,371.8",842.1,"4,429.1",#N/A,#N/A,"1,06,856.6",#N/A,187.1,189.8
,,15-01-1979,216.9,133.8,"42,795.3",108.8,256.8,367.8,"1,782.0",#N/A,#N/A,718.1,"1,35,122.4",825.5,"4,374.7",#N/A,#N/A,"1,06,819.8",#N/A,187.3,189.8
,,16-01-1979,220.7,135.6,"43,225.9",110.2,260.9,367.7,"1,796.5",#N/A,#N/A,724.0,"1,36,222.9",832.3,"4,410.4",#N/A,#N/A,"1,07,689.8",#N/A,189.3,191.9
,,17-01-1979,227.3,139.2,"44,349.7",113.3,267.6,376.2,"1,842.1",#N/A,#N/A,742.3,"1,39,676.2",853.4,"4,522.2",#N/A,#N/A,"1,10,419.8",#N/A,196.0,197.1
,,18-01-1979,231.8,141.7,"44,823.4",115.3,270.8,379.1,"1,861.7",#N/A,#N/A,750.3,"1,41,168.1",862.5,"4,570.5",#N/A,#N/A,"1,11,599.2",#N/A,197.1,199.0
,,19-01-1979,230.6,141.1,"46,908.8",115.1,280.9,396.1,"1,940.8",#N/A,#N/A,782.1,"1,47,159.4",899.1,"4,764.4",#N/A,#N/A,"1,16,335.5",#N/A,206.5,207.6
,,22-01-1979,235.0,144.0,"46,387.4",117.6,278.3,393.5,"1,886.9",#N/A,#N/A,781.1,"1,46,492.8",898.4,"4,746.6",#N/A,#N/A,"1,15,493.3",#N/A,203.5,205.7
,,23-01-1979,230.0,141.1,"45,633.1",115.2,273.3,386.8,"1,895.4",#N/A,#N/A,768.4,"1,44,110.7",883.8,"4,669.5",#N/A,#N/A,"1,13,615.3",#N/A,200.7,202.0
,,24-01-1979,236.1,144.7,"46,372.4",118.1,278.9,392.8,"1,926.1",#N/A,#N/A,780.9,"1,46,445.4",898.1,"4,745.1",#N/A,#N/A,"1,15,456.0",#N/A,203.9,205.6
,,25-01-1979,233.9,144.0,"46,890.3",117.3,280.1,397.2,"1,937.8",#N/A,#N/A,785.6,"1,47,335.8",903.6,"4,774.0",#N/A,#N/A,"1,16,157.9",#N/A,205.2,206.5
,,26-01-1979,235.5,144.6,"46,801.3",118.0,279.6,394.6,"1,929.3",#N/A,#N/A,782.2,"1,46,687.1",899.6,"4,752.9",#N/A,#N/A,"1,15,646.5",#N/A,204.3,206.0
,,29-01-1979,235.2,145.3,"46,917.3",117.9,279.3,395.3,"1,887.0",#N/A,#N/A,780.0,"1,46,264.7",896.1,"4,721.9",#N/A,#N/A,"1,15,498.5",#N/A,203.1,206.0
,,30-01-1979,233.5,144.1,"46,907.2",116.9,278.5,394.2,"1,921.6",#N/A,#N/A,777.9,"1,45,868.4",893.7,"4,709.1",#N/A,#N/A,"1,15,185.5",#N/A,203.1,205.6
