Date,INR
29/12/1978,39096.7
01/01/1979,39096.7
02/01/1979,1471.84008
03/01/1979,1482.27537
04/01/1979,1492.27585
05/01/1979,1527.06014
08/01/1979,1524.88612
09/01/1979,1504.45035
10/01/1979,1483.57978
11/01/1979,1495.75428
12/01/1979,1460.96999
15/01/1979,1460.10038
16/01/1979,1475.75331
17/01/1979,1525.75573
18/01/1979,1547.0611
19/01/1979,1633.15222
22/01/1979,1574.45373
23/01/1979,1583.58461
24/01/1979,1617.06448
25/01/1979,1629.67379
26/01/1979,1620.54291
29/01/1979,1574.45373
30/01/1979,1612.28164
31/01/1979,1524.01651
01/02/1979,1617.93409
02/02/1979,1596.62871
05/02/1979,1667.0669
06/02/1979,1694.02472
07/02/1979,1731.41783
08/02/1979,1785.76828
09/02/1979,1698.37276
12/02/1979,1747.94037
13/02/1979,1697.93795
14/02/1979,1639.23947
15/02/1979,1706.63403
16/02/1979,1715.7649
19/02/1979,1749.24478
20/02/1979,1732.72224
21/02/1979,1740.1139
22/02/1979,1754.89722
23/02/1979,1743.15753
26/02/1979,1734.89626
27/02/1979,1711.41686
28/02/1979,1710.11245
01/03/1979,1723.59137
02/03/1979,1719.67813
05/03/1979,1667.0669
06/03/1979,1633.58702
07/03/1979,1647.50074
08/03/1979,1610.10763
09/03/1979,1630.10859
12/03/1979,1631.84781
13/03/1979,1657.50122
14/03/1979,1664.89288
15/03/1979,1664.89288
16/03/1979,1667.9365
19/03/1979,1715.7649
20/03/1979,1688.37227
21/03/1979,1673.15415
22/03/1979,1695.32913
23/03/1979,1684.02424
26/03/1979,1686.63306
27/03/1979,1704.0252
28/03/1979,1685.32865
29/03/1979,1660.54484
30/03/1979,1632.28261
02/04/1979,1640.97868
03/04/1979,1634.89143
04/04/1979,1633.15222
05/04/1979,1631.413
06/04/1979,1613.15125
09/04/1979,1651.41397
10/04/1979,1638.80466
11/04/1979,1649.67475
12/04/1979,1607.93361
13/04/1979,1607.93361
16/04/1979,1607.93361
17/04/1979,1585.75862
18/04/1979,1622.71693
19/04/1979,1676.19777
20/04/1979,1660.11004
23/04/1979,1647.06593
24/04/1979,1677.93699
25/04/1979,1720.11294
26/04/1979,1724.89578
27/04/1979,1715.3301
30/04/1979,1711.85167
01/05/1979,1746.20115
02/05/1979,1736.63547
03/05/1979,1718.80853
04/05/1979,1734.89626
07/05/1979,1734.89626
08/05/1979,1769.24574
09/05/1979,1740.54871
10/05/1979,1802.72562
11/05/1979,1810.11728
14/05/1979,1795.33396
15/05/1979,1770.11535
16/05/1979,1796.20357
17/05/1979,1814.03051
18/05/1979,1823.16139
21/05/1979,1859.68489
22/05/1979,1894.90398
23/05/1979,1865.77214
24/05/1979,1866.64175
25/05/1979,1932.29709
28/05/1979,1932.29709
29/05/1979,1980.56029
30/05/1979,1946.21081
31/05/1979,1973.16863
01/06/1979,1964.03776
04/06/1979,1931.86229
05/06/1979,1948.81963
06/06/1979,1999.69165
07/06/1979,1997.51763
08/06/1979,1983.60392
11/06/1979,2021.86664
12/06/1979,1963.16815
13/06/1979,1924.47063
14/06/1979,1957.5157
15/06/1979,1977.95147
