Date,USD
29/12/1978,227.77049
01/01/1979,227.77049
02/01/1979,228.6071
03/01/1979,219.99743
04/01/1979,224.82647
05/01/1979,227.24099
08/01/1979,224.72587
09/01/1979,225.66838
10/01/1979,222.20545
11/01/1979,222.20545
12/01/1979,218.94903
15/01/1979,218.21302
16/01/1979,222.20545
17/01/1979,229.13131
18/01/1979,233.85974
19/01/1979,232.59953
22/01/1979,237.21677
23/01/1979,231.96943
24/01/1979,238.37108
25/01/1979,236.06246
26/01/1979,237.74098
29/01/1979,237.42858
30/01/1979,235.64416
31/01/1979,235.85066
01/02/1979,231.33932
02/02/1979,232.28183
05/02/1979,245.72054
06/02/1979,247.19255
07/02/1979,254.64791
08/02/1979,253.4936
09/02/1979,249.60707
12/02/1979,246.98075
13/02/1979,243.09952
14/02/1979,243.20012
15/02/1979,250.65548
16/02/1979,249.92477
19/02/1979,250.97318
20/02/1979,249.81887
21/02/1979,253.80601
22/02/1979,255.48452
23/02/1979,254.01781
26/02/1979,251.49739
27/02/1979,250.76138
28/02/1979,254.33021
01/03/1979,251.70919
02/03/1979,250.86728
05/03/1979,240.5791
06/03/1979,242.25761
07/03/1979,244.88393
08/03/1979,241.62751
09/03/1979,243.51782
12/03/1979,242.46941
13/03/1979,241.52161
14/03/1979,241.94521
15/03/1979,242.57002
16/03/1979,246.66835
19/03/1979,244.88393
20/03/1979,244.67213
21/03/1979,242.36351
22/03/1979,245.51404
23/03/1979,245.09044
26/03/1979,248.03446
27/03/1979,247.08665
28/03/1979,247.08665
29/03/1979,244.04203
30/03/1979,242.57002
02/04/1979,242.15171
03/04/1979,242.46941
04/04/1979,242.25761
05/04/1979,243.20012
06/04/1979,242.25761
09/04/1979,242.67592
10/04/1979,242.25761
11/04/1979,240.78561
12/04/1979,236.16836
13/04/1979,236.16836
16/04/1979,236.16836
17/04/1979,233.96564
18/04/1979,235.32646
19/04/1979,243.41192
20/04/1979,238.68878
23/04/1979,239.21299
24/04/1979,242.15171
25/04/1979,244.35973
26/04/1979,244.77803
27/04/1979,246.35065
30/04/1979,248.03446
01/05/1979,250.13128
02/05/1979,249.08287
03/05/1979,249.29467
04/05/1979,251.39149
07/05/1979,251.39149
08/05/1979,251.91569
09/05/1979,250.86728
10/05/1979,255.38392
11/05/1979,254.54201
14/05/1979,254.01781
15/05/1979,258.74095
16/05/1979,259.78936
17/05/1979,260.10706
18/05/1979,259.68875
21/05/1979,265.5662
22/05/1979,269.13503
23/05/1979,267.87482
24/05/1979,267.45652
25/05/1979,274.59418
28/05/1979,274.59418
29/05/1979,277.9565
30/05/1979,274.28177
31/05/1979,278.79841
01/06/1979,279.32261
04/06/1979,277.0087
05/06/1979,279.00491
06/06/1979,284.46406
07/06/1979,280.37102
08/06/1979,284.46406
11/06/1979,286.98448
12/06/1979,282.15544
13/06/1979,280.89523
14/06/1979,283.41565
15/06/1979,284.46406
18/06/1979,282.36724
19/06/1979,284.78176
20/06/1979,285.93607
21/06/1979,286.87858
22/06/1979,288.13879
25/06/1979,288.56239
26/06/1979,286.04197
27/06/1979,286.35437
28/06/1979,280.15922
29/06/1979,281.84303
02/07/1979,287.09038
03/07/1979,285.93607
04/07/1979,288.13879
05/07/1979,293.17963
06/07/1979,295.28174
09/07/1979,292.76132
10/07/1979,295.48825
11/07/1979,295.28174
12/07/1979,295.80595
13/07/1979,292.33772
16/07/1979,297.90277
17/07/1979,301.5775
18/07/1979,307.77265
19/07/1979,304.62742
20/07/1979,304.20382
23/07/1979,310.61077
24/07/1979,311.02907
25/07/1979,309.03286
26/07/1979,310.92317
27/07/1979,311.55328
30/07/1979,306.93604
31/07/1979,301.7893
01/08/1979,295.06994
02/08/1979,296.54195
03/08/1979,291.28931
06/08/1979,287.30218
07/08/1979,289.8226
08/08/1979,293.91563
09/08/1979,302.4194
10/08/1979,309.45646
13/08/1979,304.20382
14/08/1979,297.06616
15/08/1979,307.46024
16/08/1979,303.26131
17/08/1979,306.09413
20/08/1979,304.20382
21/08/1979,305.98823
22/08/1979,317.01242
23/08/1979,316.06991
24/08/1979,321.00485
27/08/1979,321.00485
28/08/1979,323.10167
29/08/1979,321.42316
30/08/1979,325.62209
31/08/1979,321.31726
03/09/1979,329.50862
04/09/1979,331.71134
05/09/1979,335.91557
06/09/1979,342.73553
07/09/1979,336.12208
10/09/1979,343.57744
11/09/1979,346.93976
12/09/1979,344.41934
13/09/1979,340.11451
14/09/1979,353.55322
17/09/1979,359.85427
18/09/1979,385.05317
19/09/1979,377.91022
20/09/1979,389.45861
21/09/1979,377.91022
24/09/1979,389.88221
25/09/1979,385.99568
26/09/1979,382.95106
27/09/1979,405.73544
28/09/1979,407.62576
01/10/1979,425.99941
02/10/1979,437.7596
03/10/1979,412.5607
04/10/1979,393.66284
05/10/1979,394.71125
08/10/1979,381.06074
09/10/1979,395.55316
10/10/1979,424.10909
11/10/1979,412.03649
12/10/1979,405.21124
15/10/1979,413.50321
16/10/1979,404.47523
17/10/1979,395.75966
18/10/1979,389.98811
19/10/1979,403.10912
22/10/1979,402.06071
23/10/1979,394.71125
24/10/1979,405.21124
25/10/1979,401.84891
26/10/1979,384.21127
29/10/1979,383.16286
30/10/1979,386.94349
31/10/1979,391.56073
01/11/1979,387.886
02/11/1979,381.90265
05/11/1979,390.51232
06/11/1979,393.97525
07/11/1979,405.21124
08/11/1979,399.43439
09/11/1979,399.43439
12/11/1979,403.42682
13/11/1979,397.01987
14/11/1979,399.9586
15/11/1979,395.75966
16/11/1979,400.3822
19/11/1979,399.85799
20/11/1979,397.64998
21/11/1979,406.47145
22/11/1979,403.32092
23/11/1979,402.06071
26/11/1979,405.52364
27/11/1979,403.95103
28/11/1979,422.21878
29/11/1979,422.74298
30/11/1979,426.94192
03/12/1979,440.69833
04/12/1979,443.21875
05/12/1979,438.17791
06/12/1979,445.95097
07/12/1979,442.37684
10/12/1979,443.21875
11/12/1979,458.23537
12/12/1979,459.07198
13/12/1979,472.19828
14/12/1979,470.09617
17/12/1979,483.43427
18/12/1979,492.14455
19/12/1979,503.38054
20/12/1979,485.53109
21/12/1979,487.20961
24/12/1979,487.20961
25/12/1979,487.20961
26/12/1979,487.20961
27/12/1979,487.20961
28/12/1979,528.05524
31/12/1979,528.05524
01/01/1980,528.05524
02/01/1980,577.92884
03/01/1980,656.14658
04/01/1980,607.85089
07/01/1980,655.62238
08/01/1980,630.94768
09/01/1980,628.00896
10/01/1980,623.49761
11/01/1980,644.59819
14/01/1980,683.4476
15/01/1980,708.64651
16/01/1980,788.44216
17/01/1980,777.94217
18/01/1980,867.1894
21/01/1980,882.93673
22/01/1980,764.82116
23/01/1980,720.1949
24/01/1980,743.29699
25/01/1980,691.84547
28/01/1980,645.6466
29/01/1980,698.46422
30/01/1980,715.99597
31/01/1980,676.09814
01/02/1980,700.77284
04/02/1980,693.73579
05/02/1980,706.54439
06/02/1980,734.89382
07/02/1980,724.71154
08/02/1980,717.04438
11/02/1980,736.47173
12/02/1980,719.6707
13/02/1980,722.08522
14/02/1980,706.54439
15/02/1980,690.79706
18/02/1980,685.02022
19/02/1980,675.36214
20/02/1980,626.74874
21/02/1980,688.69495
22/02/1980,651.94765
25/02/1980,637.77293
26/02/1980,664.86215
27/02/1980,658.2487
28/02/1980,668.74868
29/02/1980,659.29711
03/03/1980,655.94008
04/03/1980,653.31376
05/03/1980,666.12236
06/03/1980,647.74871
07/03/1980,629.89927
10/03/1980,604.70036
11/03/1980,589.26544
12/03/1980,605.43637
13/03/1980,574.77832
14/03/1980,539.60363
17/03/1980,498.6574
18/03/1980,496.03108
19/03/1980,543.80257
20/03/1980,579.50146
21/03/1980,541.70575
24/03/1980,576.66863
25/03/1980,565.12024
26/03/1980,523.3321
27/03/1980,500.02351
28/03/1980,504.95315
31/03/1980,509.68159
01/04/1980,525.42892
02/04/1980,515.98264
03/04/1980,500.54771
04/04/1980,500.54771
07/04/1980,500.54771
08/04/1980,544.85627
09/04/1980,572.152
10/04/1980,542.75416
11/04/1980,547.4773
14/04/1980,546.74129
15/04/1980,512.83211
16/04/1980,536.45311
17/04/1980,529.10365
18/04/1980,531.83587
21/04/1980,521.75419
22/04/1980,517.97356
23/04/1980,522.27839
24/04/1980,531.94177
25/04/1980,569.52568
28/04/1980,540.96974
29/04/1980,529.94556
30/04/1980,534.35629
01/05/1980,504.95315
02/05/1980,528.57944
05/05/1980,528.57944
06/05/1980,528.57944
07/05/1980,525.95312
08/05/1980,532.04237
09/05/1980,524.16871
12/05/1980,529.42135
13/05/1980,528.05524
14/05/1980,541.70575
15/05/1980,533.30258
16/05/1980,532.77838
19/05/1980,529.94556
20/05/1980,523.6445
21/05/1980,529.62785
22/05/1980,516.50684
23/05/1980,527.31923
26/05/1980,527.31923
27/05/1980,530.99396
28/05/1980,543.27836
29/05/1980,536.03481
30/05/1980,552.72994
02/06/1980,580.02567
03/06/1980,570.57939
04/06/1980,590.52565
05/06/1980,601.34333
06/06/1980,617.30246
09/06/1980,645.44009
10/06/1980,624.65192
11/06/1980,616.24876
12/06/1980,609.953
13/06/1980,629.26916
16/06/1980,615.20035
17/06/1980,611.84332
18/06/1980,623.07401
19/06/1980,619.39928
20/06/1980,623.49761
23/06/1980,616.77296
24/06/1980,623.59822
25/06/1980,644.07398
26/06/1980,646.1761
27/06/1980,659.82131
30/06/1980,676.62235
01/07/1980,683.4476
02/07/1980,685.02022
03/07/1980,687.12233
04/07/1980,690.27286
07/07/1980,691.32127
08/07/1980,712.32124
09/07/1980,694.996
10/07/1980,679.77287
11/07/1980,690.79706
14/07/1980,672.94762
15/07/1980,640.92346
16/07/1980,646.4885
17/07/1980,649.11482
18/07/1980,626.74874
21/07/1980,638.82664
22/07/1980,634.09821
23/07/1980,653.31376
24/07/1980,665.59816
25/07/1980,674.83793
28/07/1980,666.12236
29/07/1980,669.59059
30/07/1980,650.89924
31/07/1980,635.46431
01/08/1980,643.54978
04/08/1980,652.78955
05/08/1980,652.47186
06/08/1980,649.63903
07/08/1980,651.42344
08/08/1980,651.94765
11/08/1980,638.29714
12/08/1980,625.70033
13/08/1980,636.51272
14/08/1980,647.74871
15/08/1980,646.1761
18/08/1980,633.3622
19/08/1980,645.6466
20/08/1980,656.98849
21/08/1980,668.01268
22/08/1980,661.61102
25/08/1980,661.61102
26/08/1980,650.79334
27/08/1980,656.04598
28/08/1980,657.51269
29/08/1980,653.31376
01/09/1980,650.68744
02/09/1980,662.44763
03/09/1980,659.0906
04/09/1980,670.11479
05/09/1980,673.99603
08/09/1980,696.04441
09/09/1980,694.47179
10/09/1980,711.27283
11/09/1980,698.14652
12/09/1980,710.21912
15/09/1980,690.27286
16/09/1980,691.84547
17/09/1980,697.09812
18/09/1980,696.04441
19/09/1980,698.14652
22/09/1980,735.94753
23/09/1980,736.99594
24/09/1980,736.47173
25/09/1980,723.13363
26/09/1980,724.18733
29/09/1980,703.71157
30/09/1980,690.58526
01/10/1980,706.54439
02/10/1980,689.53685
03/10/1980,683.97181
06/10/1980,699.71914
07/10/1980,702.55726
08/10/1980,701.29705
09/10/1980,714.94756
10/10/1980,710.01262
13/10/1980,704.23577
14/10/1980,692.36968
15/10/1980,702.34546
16/10/1980,698.14652
17/10/1980,694.47179
20/10/1980,680.29708
21/10/1980,675.57394
22/10/1980,683.4476
23/10/1980,656.67608
24/10/1980,655.09817
27/10/1980,659.61481
28/10/1980,653.83796
29/10/1980,666.64657
30/10/1980,665.07395
31/10/1980,650.89924
03/11/1980,662.97184
04/11/1980,668.74868
05/11/1980,675.04973
06/11/1980,654.04976
07/11/1980,616.24876
10/11/1980,633.574
11/11/1980,618.87508
12/11/1980,640.92346
13/11/1980,643.54978
14/11/1980,633.574
17/11/1980,632.83799
18/11/1980,640.39925
19/11/1980,651.74114
20/11/1980,652.47186
21/11/1980,656.98849
24/11/1980,653.00135
25/11/1980,637.56643
26/11/1980,644.59819
27/11/1980,643.54978
28/11/1980,641.24116
01/12/1980,657.20029
02/12/1980,648.79712
03/12/1980,649.11482
